"Kod";"Nazwa";"Zakres terytorialny";"Miejsce zamieszkania / zameldowania";"Stan na dzień";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 30 czerwca";"kobiety";"2025";991686;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"1995";2005690;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"1996";2005653;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"1997";2005783;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"1998";2004092;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"1999";1942849;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2000";1942360;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2001";1941387;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2002";1940059;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2003";2066206;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2004";2063001;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2005";2059533;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2006";2055998;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2007";2054944;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2008";2055030;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2009";2055739;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2010";2099119;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2011";2098900;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2012";2097906;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2013";1976027;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2014";1974528;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2015";1971099;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2016";1970217;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2017";1969944;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2018";1968751;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2019";1967527;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2020";1957106;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2021";1949604;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2022";1943263;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2023";1938162;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2024";1931595;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"ogółem";"2025";1923737;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"1995";981128;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"1996";980678;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"1997";980245;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"1998";979182;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"1999";944543;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2000";943754;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2001";943063;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gminy bez miast na prawach powiatu";"miejsce zamieszkania";"stan na 31 grudnia";"mężczyźni";"2002";942175;"osoba";"";
